PDBID,pK
2xoi,3.34
2xlc,2.3
2wyi,4.74
2xow,5.22
2xp3,3.0
2xp4,3.74
2xnp,6.44
2xp5,3.44
2xp8,4.82
2xp6,4.7
2xp7,5.77
2xpb,5.7
2xpa,5.39
2xp2,9.0
2xqq,4.82
2xru,7.51
2xs0,5.15
2xrw,5.15
2xsb,4.96
2xpc,3.9
2xtn,7.4
2xtk,3.79
2xto,6.2
2xo8,4.33
2xu3,6.8
2xu1,7.66
2xu4,6.47
2xu5,6.89
2xs8,4.61
2xuc,4.1
2xuf,14.39
2xv1,5.99
2xup,12.39
2xuz,7.4
2xui,15.0
2xvd,8.7
2xvn,3.95
2xwd,6.96
2xpk,11.3
2xwy,5.22
2xwe,6.02
2xxn,6.41
2xx2,7.3
2xx4,7.1
2xx5,6.7
2xxr,6.55
2xxw,6.41
2xxt,8.05
2xye,8.34
2xxy,7.89
2xxx,6.41
2xyf,8.44
2xyn,8.4
2xyu,5.35
2xyr,6.13
2xy9,9.19
2xyd,6.82
2xzq,6.59
2xzg,4.74
2xzw,5.29
2y06,6.1
2xzc,5.64
2xys,7.42
2xyt,6.29
2y07,6.22
2y0j,7.92
2xz5,4.01
2y1n,4.77
2y1o,5.09
2y1d,6.82
2y1x,7.57
2y1g,6.15
2y2h,4.57
2y2i,4.59
2y2n,4.57
2x85,3.89
2y34,7.1
2y2j,4.8
2y1w,6.33
2y36,6.42
2y4a,4.38
2y2k,5.16
2y4k,5.46
2y4l,6.3
2y55,3.87
2y2p,4.7
2y4m,6.46
2y4s,6.15
2y59,6.44
2y54,4.7
2y56,6.51
2y57,6.89
2y58,5.5
2y5f,8.7
2y5g,6.84
2y5h,5.79
2y67,3.53
2y3p,5.89
2y68,3.6
2y6o,7.6
2y6s,6.99
2y71,7.37
2y76,6.36
2y5k,6.66
2y6c,5.0
2y6d,7.1
2y77,6.6
2y7k,4.93
2y7p,5.47
2y7w,4.98
2y7i,5.54
2y5l,6.48
2y7x,8.89
2y7z,8.7
2y80,8.05
2y82,8.4
2y81,8.7
2y9g,3.77
2y8c,6.4
2y8o,5.12
2y8l,5.82
2y8q,5.82
2ya6,5.7
2ya7,3.14
2y9q,6.15
2y8i,5.89
2ya8,5.75
2yak,8.7
2ybk,4.62
2yb0,3.85
2yay,6.1
2ybp,4.62
2yaz,5.14
2yac,8.7
2ybs,4.59
2ybt,4.7
2ybu,6.38
2yc0,2.82
2yc5,7.46
2yc3,6.85
2ych,3.0
2ycm,3.56
2ycf,10.52
2ycq,9.85
2ycr,7.16
2ycs,8.87
2ydi,6.82
2yb9,9.22
2ydj,8.3
2yde,3.72
2ydo,7.51
2ydf,7.66
2ydk,8.15
2ydm,7.44
2yel,7.28
2ydv,7.86
2ydw,7.34
2ydt,5.52
2yem,7.81
2yer,7.7
2yek,7.21
2yex,10.0
2yfa,5.07
2ye9,6.22
2yfe,6.63
2yg2,6.05
2ygu,6.49
2yge,5.06
2ygf,5.09
2yhd,4.64
2yga,4.61
2yfx,8.09
2yi5,7.41
2yhw,5.6
2yig,7.1
2yhy,5.6
2yi0,8.12
2yiq,7.9
2yir,9.77
2yi7,8.32
2yis,8.77
2yit,9.54
2yiw,9.1
2yix,8.48
2yj2,7.92
2yj8,8.19
2yim,3.92
2yjw,5.12
2yj9,7.02
2yjb,7.02
2yiv,2.78
2yjc,7.66
2yjx,5.12
2yk1,8.13
2yk9,5.09
2ykc,6.11
2yiu,6.89
2yjq,5.28
2ykb,5.96
2yki,9.46
2yke,5.96
2ykj,6.21
2yln,7.68
2ylp,4.3
2ym3,6.0
2ylo,4.88
2ylq,4.3
2ylc,7.89
2ym4,5.82
2ym7,6.89
2ym6,6.06
2ymt,8.0
2ym5,6.37
2ym8,7.89
2ynn,5.17
2ynr,5.77
2yof,4.6
2yns,7.6
2ynd,7.49
2yoh,4.96
2yol,6.89
2yog,4.51
2yme,7.66
2ypi,4.82
2ywp,8.15
2yq6,7.35
2yxj,9.3
2yz3,6.66
2yoj,8.3
2z4r,7.62
2z3h,4.64
2z1w,4.08
2z4o,9.57
2z4b,9.36
2ymd,3.16
2z4w,6.01
2ypp,4.41
2z4y,6.15
2ypo,4.68
2z5s,5.66
2z5t,5.62
2z3z,4.31
2z60,8.05
2z4z,5.73
2z50,4.95
2z52,5.57
2z6w,7.87
2z5o,6.0
2z7g,8.95
2z7r,9.52
2z92,9.1
2z94,5.85
2z97,6.0
2z7i,7.0
2z7h,6.94
2z9g,6.15
2za0,6.64
2zas,7.86
2z78,6.12
2z8e,8.0
2zb0,6.62
2zaz,6.4
2zb1,6.32
2zc9,6.74
2zcq,8.82
2za3,3.68
2zcr,6.87
2zcs,8.22
2zdk,6.37
2za5,8.43
2zda,8.4
2zdm,6.41
2zdl,6.4
2zdn,6.25
2zfs,6.54
2zdt,8.02
2zdz,6.15
2ze1,6.22
2zft,6.52
2zg1,2.1
2zdx,3.19
2zg3,2.06
2zfp,5.17
2zga,6.32
2zhd,6.54
2zgm,1.79
2zgx,6.74
2zbk,5.7
2zjw,7.7
2zif,4.37
2zjf,7.72
2zm1,6.66
2zir,8.19
2zmd,7.01
2zit,4.46
2zm3,6.21
2zkj,5.48
2zju,5.81
2zmj,7.52
2zns,6.54
2zjv,5.14
2zmm,7.6
2zn7,7.89
2znt,9.3
2znu,8.11
2zo3,10.0
2zq1,6.62
2zlf,4.51
2zlg,5.59
2zpk,7.76
2zoq,6.05
2zq2,6.56
2zu3,6.1
2zu4,7.42
2zu5,7.0
2zp0,7.6
2zv2,6.3
2zvj,5.74
2zsc,7.06
2zv9,8.05
2zof,8.15
2zva,7.96
2zq0,6.82
2zwz,7.79
2zx7,10.49
2zx8,9.64
2zx9,10.27
2zy1,7.4
2zyb,7.7
2zxg,8.82
2zym,6.14
2zyn,5.92
2zxa,8.35
2zxb,5.3
2zz1,4.54
2zx5,12.33
2zx6,10.6
2zz2,4.54
2zz6,6.72
3a1s,4.83
3a1t,4.83
3a1c,4.0
2zzu,7.41
3a1d,4.12
3a4o,8.89
3a2o,9.08
3a6t,7.28
3a1e,2.66
2zxd,5.22
3a4p,7.55
3aas,4.51
3a73,3.38
3aaq,3.3
3a5y,7.96
3a3y,9.15
3aau,5.05
3a9i,4.15
3aav,6.62
3acw,4.76
3acl,6.22
3a29,7.89
3acx,5.7
3abt,4.77
3abu,5.62
3adt,4.55
3ads,5.01
3adv,3.03
3afk,3.6
3ag9,8.05
3adu,4.14
3agm,9.09
2yne,8.57
3ai8,3.81
3ah8,9.82
3ahn,7.05
3aid,6.86
3a2c,6.9
3aho,7.05
3ad8,3.16
3aig,6.0
3aje,5.03
3al3,5.68
3ao1,2.26
3alt,2.92
3anr,6.46
3amb,6.18
3anq,6.74
3ao2,3.77
3ao4,2.07
3ama,6.53
3ap4,3.92
3ao5,2.23
3ap7,3.0
3ans,6.25
3aqa,4.55
3aox,9.08
3ant,8.07
3aqt,6.72
3ara,6.49
3ard,6.76
3arb,6.63
3are,6.21
3arg,7.26
3apc,7.44
3arp,7.15
3arf,7.19
3art,4.43
3arn,5.41
3arq,6.4
3aru,3.22
3arr,5.4
3arv,5.64
3arw,6.15
3arx,5.33
3asl,5.76
3ask,6.43
3arz,6.0
3ary,6.0
3as1,4.02
3as0,4.55
3ati,3.73
3as2,3.44
3asx,7.7
3at3,8.04
3at4,8.1
3as3,3.8
3atl,4.76
3atk,2.85
3atm,3.06
3atp,4.45
3av9,3.36
3atu,8.3
3atv,5.34
3ava,4.4
3avb,4.07
3avf,3.53
3au6,7.92
3avg,3.3
3avh,3.3
3avj,3.3
3avi,3.3
3avk,3.3
3avl,4.18
3avm,3.3
3avn,3.3
2zis,8.55
3ax5,5.85
3avz,7.19
3ay0,3.04
3aya,4.33
3aw0,5.24
3axz,3.43
3ay9,8.34
3ayc,4.24
3ayd,4.19
3b0w,5.7
3atw,7.01
3b1m,8.48
3az8,6.0
3aza,5.13
3az9,6.0
3azb,4.92
3b24,4.38
3b26,6.64
3b25,6.07
3b27,5.16
3b28,8.47
3b1t,5.66
3b1u,5.72
3b2w,9.22
3b3s,2.55
3b3w,4.19
3b3c,3.98
3b3x,3.6
3b4p,5.4
3b4f,8.14
3at1,3.18
3b2q,4.55
3b50,7.55
3b5j,5.68
3b5r,8.77
3b66,8.6
3b65,9.27
3b67,8.85
3b68,8.4
3b7i,5.82
3b2t,5.21
3b7j,5.17
3b7u,7.74
3b7r,7.7
3b8r,9.22
3b78,4.1
3b8q,9.3
3b92,8.0
3b8z,6.54
3b95,5.15
3b9s,5.3
3b82,4.43
3b8h,4.2
3bb1,3.6
3b9g,4.72
3bc4,5.35
3bbt,6.15
3bar,5.7
3bc3,6.81
3bc5,8.3
3bcn,7.12
3be2,8.7
3bea,8.15
3be9,7.62
3axk,4.15
3bbb,7.0
3bel,7.85
3bet,5.82
3bbf,5.28
3bex,5.57
3bg8,5.89
3bf1,2.52
3bgc,5.02
3bft,6.49
3bfu,6.27
3bgb,6.05
3bgq,7.96
3bgz,6.26
3bgp,7.04
3bgm,7.41
3bcs,5.21
3bh8,7.95
3bh9,6.93
3bgs,9.42
3bho,5.61
3bhb,8.47
3bim,5.88
3agl,7.8
3bi6,7.82
3biz,7.24
3bjc,6.96
3bhx,9.15
3bki,5.12
3ad7,2.52
3bgl,8.35
3bl0,6.92
3bkk,6.08
3bi0,7.85
3bkl,6.17
3bl1,5.6
3bl2,5.8
3bi1,9.92
3bjm,8.3
3bl7,8.4
3blt,3.54
3bla,8.7
3blr,8.19
3bl9,7.18
3blu,3.46
3bls,5.14
3bm8,3.54
3bm9,6.72
3bmy,7.52
3bpr,4.95
3bpc,4.8
3bqc,5.73
3bm6,7.59
3bqn,8.6
3amv,7.97
3bmo,5.27
3bra,2.7
3bmq,5.49
3br9,7.21
3brn,8.7
3bu1,8.15
3bt9,5.71
3btc,5.75
3bti,6.14
3btj,5.62
3btl,5.96
3bsc,4.48
3buf,3.1
3bug,3.18
3btr,5.3
3bu6,5.89
3bum,6.49
3buh,3.66
3bun,6.21
3buo,6.06
3bv2,9.36
3buw,5.83
3bv3,9.34
3bmn,4.46
3bux,5.63
3bu8,6.92
3bva,6.52
3bv9,5.36
3bwf,9.7
3bvb,5.49
3bwj,6.5
3bx5,8.46
3bxg,4.96
3bxs,5.1
3bxe,5.48
3bxh,4.03
3bxf,5.54
3byo,8.15
3bym,8.22
3bys,9.3
3byu,9.1
3bwk,3.94
3bz3,8.82
3bzi,5.74
3bze,6.0
3c0z,3.95
3bzf,4.52
3bxz,6.72
3c1k,9.44
3c10,6.52
3c14,3.52
3c1x,7.35
3c39,3.96
3c3o,4.36
3c3q,4.32
3c3r,4.39
3c49,7.15
3c2r,3.11
3c4e,4.0
3c4c,6.8
3c2o,3.35
3c1n,5.5
3c2f,2.0
3c4f,5.72
3c4h,5.7
3c52,7.3
3c56,7.89
3c6w,5.62
3c5u,8.19
3c72,4.64
3c6u,8.87
3c43,7.72
3c6t,8.68
3c7p,10.0
3c7q,7.68
3c45,9.68
3c88,6.8
3c89,6.07
3c8a,6.18
3c79,7.2
3c7n,6.7
3c8b,6.1
3c94,6.87
3caj,8.1
3c9e,8.0
3c84,7.85
3cbs,7.24
3cbp,5.6
3c8e,4.15
3ccn,6.92
3axm,5.07
3ccb,4.52
3cd8,8.05
3ccc,8.1
3cct,7.56
3ccz,7.29
3ccw,7.87
3cd0,7.57
3ce0,6.15
3cd5,7.9
3ce3,8.74
3cde,7.66
3cen,8.26
3cd7,7.84
3cfn,5.0
3cf9,4.83
3cgf,6.57
3cfs,5.96
3cf8,4.9
3cgy,3.15
3cft,4.19
3cgo,5.52
3cfv,6.05
3ch9,3.3
3chc,4.09
3chd,4.92
3chg,3.99
3cda,7.58
3chf,5.37
3che,5.29
3cdb,7.02
3chp,5.27
3cho,6.55
3chq,7.7
3cic,8.52
3chr,7.21
3chs,7.77
3cib,7.85
3cid,8.3
3cii,6.1
3cj2,4.85
3cj4,6.51
3cj3,4.24
3cjf,8.2
3ck7,4.05
3bh3,6.15
3ck8,3.84
3cjo,8.66
3cj5,6.34
3ckt,6.32
3ckb,2.98
3ckp,6.35
3cm2,6.47
3ckr,5.3
3cm7,6.57
3clp,3.69
3cn0,5.51
3coh,8.4
3coj,5.28
3cke,6.1
3co9,8.0
3cow,6.9
3ckz,8.72
3cl2,7.59
3cp9,7.32
3cf1,6.64
3cpb,4.6
3cpc,5.3
3cqu,6.82
3coy,6.02
3coz,5.57
3cr4,4.28
3cr5,4.19
3cqw,7.38
3cs8,5.77
3cs7,10.68
3cph,6.48
3ctr,5.16
3cpj,4.72
3ctj,7.46
3cth,6.96
3csl,7.22
3cso,5.77
3cwk,6.6
3ctq,7.4
3cwe,6.92
3cy2,7.22
3cwj,8.0
3ctt,6.35
3cst,7.41
3cvk,8.0
3cyu,7.22
3cyy,4.77
3cyx,8.0
3cyz,7.22
3cyw,7.77
3cx9,4.89
3d0b,6.54
3cz1,7.26
3czv,7.8
3d14,7.66
3d1x,8.66
3d04,6.05
3d1e,5.77
3d1y,8.22
3d0e,8.4
3d1f,5.74
3d1z,8.8
3d20,8.3
3d27,4.25
3d32,6.45
3d25,7.66
3d2t,7.12
3d1v,3.49
3d1g,5.0
3d3p,8.5
3d28,5.85
3d4q,10.52
3d4f,7.72
3d3x,4.16
3d2r,5.48
3d45,5.68
3d2e,6.42
3d4y,5.7
3d50,4.77
3d4z,4.89
3d51,4.15
3d62,6.1
3d6o,4.11
3d4l,7.49
3d6p,3.75
3d6q,3.76
3d5m,8.0
3d67,4.96
3d7b,3.69
3d78,7.64
3d52,3.28
3d7m,6.44
3d7z,7.92
3d83,8.36
3d8w,8.15
3d8y,3.4
3d8z,3.37
3d7g,7.77
3d7h,10.22
3d7d,7.85
3d91,9.15
3d9k,4.72
3d7f,9.3
3d9l,4.17
3d9m,3.48
3d94,6.8
3d9n,4.05
3d9o,3.0
3c2u,2.9
3d9p,4.54
3dab,6.68
3da6,8.7
3d9z,8.7
3da9,5.51
3daz,7.93
3daj,5.54
3db8,7.0
3db6,6.14
3dbd,7.38
3dbu,8.06
3d9v,8.22
3dc3,8.31
3d7k,4.6
3dcc,8.96
3dcr,8.2
3dcq,5.23
3dba,8.0
3dcs,7.94
3dct,6.95
3dcv,8.52
3dcw,9.0
3dbs,7.12
3dd0,9.0
3dd8,7.85
3dda,3.88
3ddb,4.02
3ddp,7.14
3ddq,6.68
3dc2,3.02
3deh,6.83
3dei,7.4
3ddf,4.66
3dgl,6.6
3dej,8.0
3ddg,6.0
3dgn,6.21
3dek,7.57
3dg8,4.7
3dgo,6.74
3diw,6.72
3ddu,7.4
3dgq,4.92
3dhk,7.33
3djo,4.39
3djk,10.59
3dga,4.52
3djq,2.98
3djp,4.2
3djv,4.55
3dk1,9.74
3djx,2.81
3dkf,8.57
3dkg,5.0
3dln,6.6
3djf,6.1
3dne,5.22
3dnd,4.8
3dnj,6.82
3dng,8.13
3dm6,7.43
3dow,4.94
3dkj,5.7
3dnt,4.74
3dog,7.4
3dp1,5.0
3doy,5.82
3dp0,5.85
3doz,5.7
3dp4,7.37
3di6,7.0
3dp9,9.68
3dpe,7.24
3dp2,5.82
3dpf,7.24
3dp3,5.82
3dpk,8.39
3dpc,4.36
3dpo,8.26
3dpd,5.78
3dla,3.46
3ds1,5.7
3drf,7.0
3drg,7.0
3ds0,4.83
3dri,4.42
3ds3,5.22
3ds4,4.19
3ds6,9.1
3dsz,7.77
3ds9,7.39
3cl0,7.07
3dt1,8.62
3drp,9.7
3drs,9.3
3drr,9.4
3dtc,7.59
3dst,9.08
3dsu,7.03
3dux,7.0
3du8,6.84
3dvp,5.0
3dv1,6.23
3duy,5.85
3dv5,7.66
3dxg,2.4
3dxh,3.19
3dwb,6.19
3dy6,6.9
3dx1,3.58
3dx3,6.52
3dx0,7.44
3dx4,7.12
3dx2,6.82
3dz2,4.15
3dz5,8.15
3dz4,6.4
3dz6,7.82
3dzt,7.22
3e0p,7.92
3dya,8.52
3e0q,5.89
3e01,7.52
3e1r,5.82
3e16,5.24
3e2m,9.4
3e12,5.99
3e3b,7.96
3e37,5.39
3dxm,6.0
3e3c,5.62
3e3u,7.89
3dxj,6.22
3e62,4.39
3e5a,8.23
3e63,5.8
3e6k,5.15
3e51,7.85
3e64,7.11
3e7a,10.0
3e4a,8.77
3e6y,5.6
3e7b,9.8
3e85,5.38
3e7o,6.92
3e73,3.15
3e8r,9.74
3e90,7.39
3e81,1.43
3dyo,2.3
3e8n,7.72
3e6v,6.83
3e93,8.85
3eax,4.92
3e92,8.0
3eb1,4.79
3ebl,6.3
3ebb,5.3
3e8u,9.42
3ecn,3.16
3e9b,5.35
3e9h,7.55
3ebh,6.32
3e9i,6.22
3ee2,4.19
3eeb,5.89
3ed0,6.35
3ebi,7.1
3efr,5.08
3efw,8.4
3efs,5.34
3efj,7.41
3ebo,4.72
3efk,7.85
3eg6,5.77
3egk,4.66
3ehx,7.6
3ehn,1.92
3eht,5.17
3ehy,5.85
3eig,7.68
3ehw,4.82
3ej5,3.57
3eid,6.35
3ebp,5.91
3egt,8.9
3ejp,8.55
3ejq,8.57
3ejs,6.6
3ejr,8.57
3ejt,7.36
3ekn,8.4
3eko,6.7
3ekp,8.89
3ekq,6.75
3ekr,7.52
3eio,6.65
3eju,6.6
3ekt,10.59
3eka,3.0
3eks,5.7
3ekv,9.41
3eky,9.64
3ekx,9.41
3ekw,7.96
3el1,9.64
3el4,7.17
3el0,7.47
3el9,8.4
3el5,7.72
3el7,6.32
3el8,7.6
3emh,6.85
3elc,2.69
3emg,8.05
3elj,5.3
3eml,8.74
3ens,8.05
3eov,7.2
3elm,9.72
3eoc,6.64
3eor,1.4
3eos,8.4
3eou,7.01
3eq8,9.06
3eqr,8.7
3eq9,7.39
3eqy,8.05
3eq7,9.09
3eqs,8.48
3er3,7.09
3eqb,1.82
3er5,9.0
3erd,9.9
3erk,4.74
3ery,5.66
3ern,1.72
3ess,6.39
3ert,9.6
3et7,7.77
3eta,7.85
3esj,3.03
3eu7,6.18
3evc,6.91
3evd,6.91
3evf,6.77
3ewc,7.7
3ew2,6.67
3ewj,6.84
3ewh,7.16
3eu5,7.49
3ewu,4.62
3ex2,3.7
3ewz,4.1
3ex6,3.66
3ex3,4.44
3eyd,9.7
3exo,4.62
3eyf,7.03
3eyg,8.8
3eyl,6.6
3eyh,7.7
3ezr,5.0
3eys,5.52
3ezv,5.98
3eyu,7.62
3f15,8.1
3f07,5.54
3exf,6.54
3f17,8.63
3f0r,6.89
3exh,4.88
3f16,8.23
3exe,6.96
3f1a,7.21
3f18,7.4
3f19,7.19
3f2a,7.24
3eql,5.3
3dxk,6.33
3f35,3.16
3f36,2.89
3f34,3.16
3f33,3.34
3f3a,4.19
3f3u,4.74
3e5u,5.85
3f3t,4.59
3f3v,7.14
3f3w,7.47
3f37,2.62
3f5j,4.28
3f5l,3.72
3f3e,7.7
3f3c,6.02
3f3d,7.16
3f5k,4.62
3f6g,4.72
3f48,6.29
3f68,5.06
3f66,6.05
3f5p,6.85
3f69,6.0
3f7h,7.09
3f6h,4.72
3f78,3.1
3f7b,7.19
3f7i,7.34
3f7u,6.61
3eft,7.92
3f7g,7.37
3f70,4.85
3f8c,7.68
3f81,7.13
3f7z,7.19
3f82,8.34
3f88,8.64
3f8f,6.63
3f8e,7.23
3f9w,4.72
3f9n,5.89
3f9y,4.49
3f80,4.22
3ej1,6.92
3faa,8.15
3f8w,4.08
3f8s,7.89
3fbr,4.82
3fat,7.64
3fas,6.77
3fal,6.78
3fc2,9.06
3fc1,8.0
3fcf,4.4
3fc8,5.39
3fci,5.89
3fdt,4.52
3fcl,3.5
3fck,4.0
3f6e,2.38
3fcq,2.77
3fdn,7.48
3fcb,5.31
3fdm,8.7
3fea,7.44
3fe7,7.12
3fei,7.7
3fej,6.13
3ffg,9.08
3ffp,7.14
3ffu,6.44
3feg,4.35
3fa3,5.6
3fee,6.64
3fh5,7.06
3fhb,5.7
3fgc,3.92
3ff6,7.15
3fh8,6.74
3fhr,6.68
3fh7,7.6
3fed,7.46
3fi2,7.6
3fhe,8.6
3fi3,7.92
3fjg,3.73
3fj7,3.71
3fl5,7.28
3fkv,7.57
3fl8,7.27
3fl9,1.11
3fk1,2.62
3fjz,4.05
3fmq,7.95
3fmz,8.08
3fmr,7.97
3fpm,5.05
3fn0,4.4
3fkt,5.55
3fqe,8.3
3fnm,4.71
3fpd,6.15
3fqh,6.24
3fr2,6.23
3fnu,6.16
3fr4,6.19
3fr5,6.35
3fqs,7.39
3fqa,0.49
3fsm,7.0
3fq7,2.52
3fql,7.15
3frz,8.15
3ft3,7.36
3ft4,5.93
3ft2,7.36
3fqk,7.09
3ft5,4.82
3ftq,5.33
3ft8,7.52
3fts,3.67
3ftv,2.93
3ftu,3.61
3ftw,2.78
3fty,3.21
3ftz,2.7
3fu0,2.28
3fu3,2.84
3fu5,4.12
3fud,2.7
3fue,2.82
3frg,8.4
3fuf,2.7
3fuh,2.7
3fuc,9.72
3fui,6.8
3fuj,3.63
3fuk,3.02
3fsj,3.95
3ful,3.7
3fuz,6.54
3fup,7.66
3fur,8.0
3fum,3.77
3fv2,8.11
3fv1,9.3
3fun,6.72
3fu6,3.97
3fv3,9.52
3fvk,8.82
3fv7,5.64
3fvg,6.89
3fw4,9.4
3fvh,6.35
3fvn,6.77
3fv8,6.8
3fw3,7.37
3fwv,5.64
3fxb,5.85
3fxv,7.03
3fvl,6.07
3fy0,5.96
3fxw,5.96
3fxz,6.89
3fyz,5.8
3fz1,7.92
3fzc,5.39
3fx6,6.8
3fzr,7.96
3fzs,5.82
3fzt,6.2
3fzy,6.74
3fyj,8.3
3fyk,7.4
3g08,8.16
3g0e,7.7
3g0b,8.15
3g0d,8.3
3g0f,7.66
3g0c,5.7
3g0w,9.52
3g0i,3.6
3g15,7.0
3f38,2.62
3g19,6.67
3fzn,4.01
3g1d,3.48
3g1m,6.3
3ff3,3.57
3g0g,8.3
3g1v,3.19
3g2s,6.22
3g2h,3.82
3g2i,4.86
3g2j,4.75
3g2t,7.0
3g2u,5.27
3g2v,6.52
3g2w,5.66
3g2k,4.79
3g2y,2.0
3g2z,2.36
3g2l,3.87
3g2n,4.09
3g31,2.89
3g32,3.71
3g30,2.51
3g34,2.96
3g35,4.68
3g3r,6.48
3g3n,6.29
3g42,6.85
3g3d,4.74
3g3m,5.96
3g4g,9.04
3g4i,9.04
3g4k,6.54
3g45,8.36
3g4f,4.52
3g4l,8.24
3g58,9.28
3g5k,9.52
3g5d,7.96
3f39,1.78
3g5v,7.8
3g6m,1.71
3g5y,7.46
3g6h,8.19
3g6g,8.55
3g7l,6.72
3g6z,9.7
3g76,6.64
3g70,9.4
3g8i,7.42
3g72,9.1
3g90,6.36
3g9e,7.72
3g8o,7.8
3g9l,6.13
3ga5,5.49
3g9n,5.74
3g86,8.3
3gbq,5.46
3gba,9.07
3gb2,7.47
3gbb,6.9
3g8e,5.35
3gcq,6.47
3gbe,5.0
3gcp,7.82
3gc4,7.6
3gc7,9.22
3gcv,7.13
3gc5,7.26
3gcs,7.25
3gen,9.14
3gcu,6.78
3gf2,1.7
3gdt,7.19
3gds,6.51
3gfw,7.57
3ge7,8.7
3gfe,8.49
3ggu,9.77
3ggv,10.85
3ggw,5.54
3gi4,10.8
3ghe,5.89
3gep,3.75
3gjq,5.33
3gi5,11.22
3gi6,11.22
3ggc,5.44
3ggj,6.0
3gjd,7.33
3gk2,2.7
3gk1,4.1
3gjt,6.77
3gjs,4.99
3gl6,4.68
3gkz,8.0
3gk4,3.92
3gjw,8.3
3gm0,7.77
3gpe,5.74
3gn7,8.3
3gqo,5.41
3gpo,5.3
3gr2,2.52
3gqz,2.17
3gp0,7.44
3gnv,7.03
3gol,7.09
3gnw,9.1
3grj,3.0
3gs6,6.59
3gsg,2.7
3gsm,6.48
3gt9,3.96
3gs7,5.44
3gta,4.28
3gst,6.72
3gtc,2.35
3gss,5.82
3gv6,3.3
3gpj,5.11
3gur,8.0
3guz,4.38
3gus,6.05
3gvu,8.0
3gw5,9.33
3gws,10.09
3gv9,2.12
3gvb,2.59
3gxl,7.6
3gwt,11.1
3gwu,4.71
3gxy,5.59
3gwx,5.4
3gxz,7.89
3gy2,5.74
3gww,0.45
3gwv,2.6
3gy3,5.63
3gy4,5.1
3gy7,4.52
3gx0,3.48
3h03,3.87
3gz9,8.4
3h06,3.53
3gxt,4.74
3gyn,7.21
3h0a,7.48
3h0b,5.49
3h0v,4.82
3h0w,6.22
3h0e,8.15
3h1x,5.89
3h0z,8.37
3gzn,8.0
3h0y,8.22
3h1z,4.66
3h0j,6.49
3h21,4.7
3h0q,6.07
3h22,5.1
3h23,4.71
3h2c,3.3
3h26,4.49
3h2a,3.96
3h0s,6.2
3h2f,4.06
3h2m,3.67
3h2n,3.67
3h2o,4.59
3h30,4.53
3h5b,10.0
3h3c,6.85
3h52,4.85
3h85,5.22
3h6z,5.82
3h89,7.64
3h8b,6.29
3h59,7.89
3h8c,7.72
3h5s,8.3
3h5u,8.52
3h91,3.73
3h78,4.24
3hau,6.38
3h9o,7.15
3haw,6.0
3hav,3.77
3hbo,5.09
3h98,8.3
3h9k,7.85
3ha6,5.68
3hb4,9.05
3h9f,7.92
3hdk,4.76
3hcm,3.3
3hc8,8.54
3hd3,7.0
3hdm,7.4
3hdn,7.2
3hb8,5.12
3hdz,7.29
3hec,4.47
3hf6,7.59
3hac,8.17
3heg,6.74
3hf8,6.51
3hfb,7.52
3hek,8.27
3hfv,4.87
3hfj,4.44
3hhu,7.39
3hab,8.38
3hg1,4.74
3hha,7.9
3hhk,8.22
3hik,6.35
3hio,6.52
3hit,8.19
3hiv,8.12
3hiw,8.06
3hj0,5.71
3hk1,6.17
3hjo,6.52
3hkn,5.35
3hkq,5.34
3hig,7.89
3hl5,4.47
3hkt,5.39
3hku,8.3
3hii,6.54
3hl7,7.64
3hlo,6.21
3hfz,4.89
3hmo,7.52
3hmm,7.6
3hky,7.1
3hkw,8.64
3hl8,4.49
3hmp,5.49
3hll,8.24
3hnb,5.11
3hmv,7.3
3hng,6.74
3hp2,6.17
3hpt,8.19
3hqh,4.2
3hnz,7.72
3hp5,7.15
3hqr,5.52
3hp9,4.59
3ho2,6.95
3ho9,6.1
3hqw,7.46
3hqy,7.94
3hq5,7.8
3hqz,9.38
3hrf,4.99
3hr1,9.43
3hs8,5.3
3hs9,6.31
3hrb,7.68
3hs4,8.0
3huc,5.99
3hv3,6.33
3hv4,6.51
3hv6,5.64
3hub,8.09
3hv5,7.02
3hv7,7.92
3hv8,6.98
3hvc,6.22
3hvh,8.52
3hvg,2.7
3hvi,8.3
3hvj,8.7
3hvk,8.52
3hw1,3.06
3hwn,8.7
3hx3,8.0
3hww,7.12
3hxb,5.39
3hxd,5.05
3hxc,5.28
3hxi,6.33
3hwx,7.86
3hxe,5.33
3hy5,7.7
3hy7,6.97
3hy9,7.77
3hyf,5.92
3hxf,4.96
3hyg,7.03
3hzk,6.7
3hzv,6.52
3hzm,5.52
3i02,7.52
3i06,9.7
3hzy,7.0
3hu2,7.22
3hu1,6.89
3i1y,8.15
3i25,8.51
3i4a,4.28
3i4y,7.05
3i28,8.22
3i5r,4.4
3i5n,7.85
3i4b,8.15
3i0s,9.0
3i6c,4.92
3i0r,8.52
3i51,7.7
3i60,8.7
3i6o,10.35
3i5z,8.7
3i7b,7.18
3i7e,10.85
3i73,5.49
3i7c,7.74
3i6m,6.46
3hu3,6.89
3i7i,6.21
3i7g,6.37
3i90,3.3
3i91,3.3
3i8t,3.22
3i81,7.89
3i97,5.52
3i6z,7.3
3iaw,5.8
3iad,9.0
3ia6,8.52
3i9g,8.96
3ibi,8.59
3ibn,7.61
3ibl,7.84
3ibc,4.91
